NOME,TIPO
IBRAHIMAHMAD ABD AL-SATTARMUHAMMED,F
SAIF-AL-DINFULAYYIHHASSAN TAHA,F
RAFIABD-AL-LATIFTILFAH,F
TAHIRJALILHABBUSH,F
HAMIDRAJASHALAH,F
ABD-AL-TAWWABMULLAHHUWAYSH,F
TAHAYASSINRAMADAN,F
RUKANRAZUKIABD-AL-GHAFUR SULAIMAN,F
JAMALMUSTAFA ABDALLAHSULTAN,F
MIZBANKHADRHADI,F
TAHAMUHYI-AL-DINMA'RUF,F
TARIQAZIZ,F
SULTANHASHIMAHMAD,F
HIKMATMIZBANIBRAHIM,F
SAB'AWIIBRAHIMHASSAN,F
WATBANIBRAHIMHASSAN,F
BARZANIBRAHIMHASSAN,F
HUDASALIHMAHDI,F
YAHIAABDALLAHAL-UBAIDI,F
NAYIFSHINDAKHTHAMIR,F
SAIF-AL-DINAL-MASHHADANI,F
FADILMAHMUDGHARIB,F
MUHSINKHADRAL-KHAFAJI,F
RASHIDTAANKATHIM,F
UGLAABIDSAKR,F
GHAZIHAMMUDAL-UBAIDI,F
ADILABDALLAHMAHDI,F
KHAMISSIRHANAL-MUHAMMAD,F
SA'DABD-AL-MAJIDAL-FAISAL,F
SAJIDAKHAYRALLAHTILFAH,F
RAGHADSADDAMHUSSEIN,F
RANASADDAMHUSSEIN,F
HALASADDAMHUSSEIN,F
SAMIRASHAHBANDAR,F
ALISADDAMHUSSEIN,F
MOHAMMADBARZANIBRAHIM,F
SAJABARZANIBRAHIM,F
ALIBARZANIBRAHIM,F
NOORBARZANIBRAHIM,F
KHAWLABARZANIBRAHIM,F
THORAYABARZANIBRAHIM,F
JAWHARMAJIDAL-DURI,F
SUNDUSABD AL-GHAFUR,F
NIDALAL-RABI'I,F
INTISSARAL-UBAYDI,F
ADNANS.HASAN,F
MUNIRAL QUBAYSI,F
ADIBSHABANAL-ANI,F
ROODISLEWA,F
MUHAMMADYUNISAHMAD,F
YASIRSABAWIIBRAHIM,F
AYMANSABAWIIBRAHIM,F
IBRAHIMSABAWIIBRAHIM,F
BASHARSABAWIIBRAHIM,F
SA’DSABAWIIBRAHIM,F
OMARSABAWIIBRAHIM,F
ABOUMOHAMEDAL ADNANI,F
HAJJAJBINFAHD,F
SHAFISULTANMOHAMMED,F
HAMIDHAMADHAMID,F
‘ABD AL-RAHMANKHALAF‘UBAYD JUDAY’,F
ABDUL MOHSENABDALLAHIBRAHIM,F
IBRAHIMSULEIMANHAMAD,F
YAHYAHAQQANI,F
SAIDULLAHJAN,F
MUHAMMADOMAR,F
RAHMATULLAHSHAH NAWAZ,F
AZZAMABDULLAHZUREIK,F
ANDERSCAMEROONOSTENSVIG,F
SEIFALLAHBEN OMARBEN MOHAMED,F
‘ABD AL-RAHMANBIN ‘UMAYRAL-NU’AYMI,F
ANASHASANKHATTAB,F
MAYSAR ALIMUSAABDALLAH,F
EMILIEEDWIGEKONIG,F
KEVINJORDANAXEL,F
OUMARDIABY,F
ABDELRAHMANMOUHAMAD ZAFIRAL DABIDI,F
ABUBAKARMOHAMMEDSHEKAU,F
MAALIMSALMAN,F
AHMEDDIRIYE,F
ABDAL-KHALIQAL-HOUTHI,F
ABDULLAHYAHYAAL HAKIM,F
ALIABDULLAHSALEH,F
ASHRAFMUHAMMADYUSUF,F
IBRAHIM'ISA HAJJIMUHAMMAD,F
TARKHANTAYUMURAZOVICHBATIRASHVILI,F
ANGGADIMASPERSHADA,F
BAMBANGSUKIRNO,F
WIJIJOKOSANTOSO,F
ABDUL BASIRNOORZAI,F
ALIBEN TAHERBEN FALEH,F
TARAKBEN TAHERBEN FALEH,F
ABDULMALIKAL-HOUTHI,F
AHMEDALIABDULLAH,F
GABRIELJOK RIAKMAKOL,F
SIMONGATWECHDUAL,F
SANTINODENGWOL,F
MARIALCHANUONGYOL,F
JAMESKOANGCHUOL,F
PETERGADET,F
ALFREDYEKATOM,F
HABIBSOUSSOU,F
OUMARYOUNOUS ABDOULAY,F
SOFIANEBEN GOUMO,F
ABD AL-LATIFBIN ABDALLAHSALIH MUHAMMAD,F
SA'DBIN SA'DMUHAMMAD SHARIYAN,F
AQSAMAHMOOD,F
NASSERAHMEDMUTHANA,F
OMARALIHUSSAIN,F
SALLY-ANNEFRANCESJONES,F
AMRUAL-ABSI,F
MU’TASSIMYAHYA‘ALI,F
TARADMOHAMMADALNORI ALFARES,F
BOUBAKERBEN HABIBBEN AL-HAKIM,F
PETERCHERIF,F
MAXIMEHAUCHARD,F
ASEELMUTHANA,F
MAGHOMEDMAGHOMEDZAKIROVICHABDURAKHMANOV,F
ISLAMSEIT-UMAROVICHATABIEV,F
AKHMEDRAJAPOVICHCHATAEV,F
TARKHANISMAILOVICHGAZIEV,F
TOREKAGHA,F
ZAURBEKSALIMOVICHGUCHAEV,F
SHAMILMAGOMEDOVICHISMAILOV,F
HAROUNGAYE,F
EUGÈNEBARRETNGAÏKOSSET,F
KIMTONG MY’ONG,F
KIMJUNG JONG,F
CHOESONG IL,F
HYONKWANG IL,F
JANGBOM SU,F
JANGYONG SON,F
JONMYONG GUK,F
KANGMUN KIL,F
KIMKYU,F
KIMYONG CHOL,F
KOTAE HUN,F
RYUJIN,F
YUCHOL U,F
ABD AL-BASETAZZOUZ,F
GULMURODKHALIMOV,F
NUSRETIMAMOVIC,F
MUHANNADAL-NAJDI,F
MORADLAABOUDI,F
ALI MUSAAL-SHAWAKH,F
HASANAL-SALAHAYNSALIH,F
MOUNIRBEN DHAOUBEN BRAHIM,F
MOHAMMEDABDEL-HALIMHEMAIDA,F
SALIMBENGHALEM,F
ABU UBAYDAHYUSUFAL-ANABI,F
JOSEPHKONY,F
FAYSALAHMADBIN ALI,F
HUSAYNJUAYTHINI,F
MUHAMMADSHOLEHIBRAHIM,F
ASLANAVGAZAROVICHBYUTUKAEV,F
AYRATNASIMOVICHVAKHITOV,F
ALIKONY,F
SALIMKONY,F
PAKCHUNIL,F
RIWON HO,F
KIMSONG CHOL,F
SONJONG HYOK,F
JOYONG CHOL,F
KIMCHOL SAM,F
CHANGCHANG HA,F
CHOCHUN RYONG,F
SONMUN SAN,F
KIMSE GON,F
RUSTAMMAGOMEDOVICHASELDEROV,F
BASSAMAHMADAL-HASRI,F
IYADNAZMISALIH,F
GHALIBABDULLAHAL-ZAIDI,F
ABDOULAYEHISSENE,F
CHOIL U,F
CHOYON CHUN,F
CHOEHWI,F
KIMCHOL NAM,F
KIMKYONG OK,F
KIMTONG-HO,F
MINBYONG CHOL,F
PAEKSE BONG,F
PAKHAN SE,F
RISU YONG,F
FAREDSAAL,F
MUHAMMADBAHRUMNAIM,F
MALIKRUSLANOVICHBARKHANOEV,F
MURADIRAKLIEVICHMARGOSHVILI,F
OMANROCHMAN,F
ALEXANDAAMONKOTEY,F
ELSHAFEEEL SHEIKH,F
SHANEDOMINICCRAWFORD,F
CHOECHUN YONG,F
JANGSONG CHOL,F
JANGSUNG NAM,F
JOCHOL SONG,F
KANGCHOL SU,F
KIMMUN CHOL,F
KIMNAM UNG,F
PAKIL KYU,F
CH'OESO’K MIN,F
KIMJONG SIK,F
KIMKYONG IL,F
KOCHOL MAN,F
KUJA HYONG,F
MUNKYONG HWAN,F
PAEWON UK,F
PAKBONG NAM,F
PAKMUN IL,F
RICHUN HWAN,F
RICHUN SONG,F
RIPYONG CHUL,F
RISONG HYOK,F
SALIMMUSTAFAMUHAMMAD,F
UMARMAHMUDIRHAYYIM,F
MUHINDOAKILIMUNDOS,F
GUIDONSHIMIRAYMWISSA,F
LUCIENNZAMBAMWITA,F
GÉDÉONKYUNGUMUTANGA WA BAFUNKWA,F
TSANGYUNG YUAN,F
AHMADIMANALI,F
ABDIFATAHABUBAKARABDI,F
MYRNAAJIJULMABANZA,F
ABDULPATTAESCALONABUBAKAR,F
ERMIASALEM,F
FITIWIABDELRAZAK,F
AHMADOUMARIMHAMAD,F
MUS’ABMUSTAFAABU AL QASSIM,F
MALEKREUBENRIAK,F
PAULMALONGAWAN,F
IBRAHIMSAEEDSALIM,F
ADNANABOU WALIDAL-SAHRAOUI,F
MOHAMMEDYUSIPKARIM,F
MUHAMMEDREZALAHAMAN,F
ANJEMCHOUDARY,F
TAHAIBRAHIMABDALLAH BAKR,F
SALAHBADI,F
HAMZAUSAMAMUHAMMAD,F
MOHAMMEDMASOODAZHAR,F
ALIMAYCHOU,F
BAHAG MOUSSA,F
AMADOUKOUFA,F
JAMALHUSSEINHASSAN,F
SEKABALUKU,F
MARTINKOUMTAMADJI,F
AMIRMUHAMMAD SA’IDABDAL-RAHMAN,F
BI SIDISOULEMAN,F
ABUKARALIADAN,F
MAALIMAYMAN,F
MAHADKARATE,F
SULTANSALEHAIDA AIDA,F
MOHAMMADALIAL HABBO,F
EMRAANALI,F
ASHRAFAL-QIZANI,F
SALEHMESFERSALEH,F
MUHAMMADABD AL-KARIMAL-GHAMARI,F
YUSUFAL-MADANI,F
SANAULLAHGHAFARI,F
ALIDARASSA,F
ALIMOHAMEDRAGE,F
AHMADAL-HAMZI,F
MANSURAL-SA’ADI,F
MOTLAQAMERAL-MARRANI,F
ABDULREHMANMAKKI,F
MAULAWIRAJAB,F
SULTAN AZIZAZAM,F
ABDULLAHIOSMANMOHAMED,F
PAKYONG SIK,F
HANJANG SU,F
RIU’N SO’NG,F
KIMTONG CHOL,F
CHUHYO’K,F
CHOECHUN-SIK,F
KANGRYONG,F
RIMAN GON,F
KIMSOK CHOL,F
JOYONG-WON,F
PAKTO CHUN,F
RIJAE IL,F
RIYONG MU,F
BERNARDMAHESHEBYAMUNGU,F
PROTOGÈNERUVUGAYIMIKORE,F
